,Date mutation,Nature mutation,Valeur fonciere,No voie,Type de voie,Code voie,Voie,Code postal,Section,No plan,No Volume,1er lot,Surface Carrez du 1er lot,2eme lot,Surface Carrez du 2eme lot,3eme lot,Surface Carrez du 3eme lot,4eme lot,Surface Carrez du 4eme lot,5eme lot,Surface Carrez du 5eme lot,Nombre de lots,Code type local,Surface reelle bati,Nombre pieces principales,Surface terrain
805096,20/05/2020,Vente,"5600000,00",22.0,RUE,7612,DE PONTHIEU,75008.0,BI,27,,,,,,,,,,,,0,2.0,59.0,2.0,344.0
805097,20/05/2020,Vente,"5600000,00",22.0,RUE,7612,DE PONTHIEU,75008.0,BI,27,,,,,,,,,,,,0,4.0,93.0,0.0,344.0
805098,20/05/2020,Vente,"5600000,00",22.0,RUE,7612,DE PONTHIEU,75008.0,BI,27,,,,,,,,,,,,0,4.0,95.0,0.0,344.0
805099,20/05/2020,Vente,"5600000,00",22.0,RUE,7612,DE PONTHIEU,75008.0,BI,27,,,,,,,,,,,,0,2.0,125.0,5.0,344.0
805100,20/05/2020,Vente,"5600000,00",22.0,RUE,7612,DE PONTHIEU,75008.0,BI,27,,,,,,,,,,,,0,2.0,120.0,4.0,344.0
805101,20/05/2020,Vente,"5600000,00",22.0,RUE,7612,DE PONTHIEU,75008.0,BI,27,,,,,,,,,,,,0,2.0,74.0,4.0,344.0
805102,04/05/2020,Vente,"1550000,00",86.0,RUE,8291,DU ROCHER,75008.0,CF,109,,15,"111,09",38.0,,,,,,,,2,2.0,124.0,6.0,
805103,18/05/2020,Vente,"2550000,00",8.0,RUE,0433,D ARGENTEUIL,75001.0,AX,40,,14,"153,02",,,,,,,,,1,2.0,156.0,4.0,
805104,15/05/2020,Vente,"549400,00",3.0,RUE,4748,DE L ISLY,75008.0,BU,47,,162,"54,37",163.0,,164.0,,165.0,,,,4,2.0,70.0,2.0,
805105,18/05/2020,Vente,"385550,00",10.0,RUE,2318,COQUILLIERE,75001.0,AR,94,,7,"28,60",,,,,,,,,1,2.0,28.0,2.0,
805106,22/05/2020,Vente,"400270,00",31.0,RUE,1880,CHARLOT,75003.0,AI,84,,17,"25,60",,,,,,,,,1,2.0,26.0,2.0,
805107,15/05/2020,Vente,"374000,00",118.0,RUE,9783,VIEILLE DU TEMPLE,75003.0,AL,24,,13,"27,10",,,,,,,,,1,2.0,32.0,1.0,
805108,20/05/2020,Vente,"150000,00",7.0,RUE,3643,DES FILLES DU CALVAIRE,75003.0,AJ,26,,251,"15,27",,,,,,,,,1,2.0,15.0,1.0,
805109,26/05/2020,Vente,"1090000,00",114.0,RUE,9783,VIEILLE DU TEMPLE,75003.0,AL,22,,32,"63,34",,,,,,,,,1,2.0,64.0,3.0,
805110,05/05/2020,Vente,"1250000,00",6.0,RUE,8256,ROBERT ESTIENNE,75008.0,AQ,12,,3,"63,00",48.0,,,,,,,,2,2.0,56.0,2.0,
805111,05/05/2020,Vente,"1250000,00",6.0,RUE,8256,ROBERT ESTIENNE,75008.0,AQ,12,,3,"63,00",48.0,,,,,,,,2,4.0,9.0,0.0,
805112,05/05/2020,Vente,"1250000,00",6.0,RUE,8256,ROBERT ESTIENNE,75008.0,AQ,12,,59,,7.0,"43,20",,,,,,,2,2.0,44.0,2.0,
805113,18/05/2020,Vente,"6093554,00",202.0,RUE,3518,DU FAUBOURG SAINT HONORE,75008.0,BC,44,94.0,,,,,,,,,,,0,,,,
805114,12/05/2020,Vente,"620000,00",55.0,RUE,5927,AU MAIRE,75003.0,AD,29,,206,,,,,,,,,,1,3.0,0.0,0.0,
805115,12/05/2020,Vente,"620000,00",55.0,RUE,5927,AU MAIRE,75003.0,AD,29,,8,"48,37",,,,,,,,,1,2.0,47.0,3.0,
805116,18/05/2020,Vente,"2200,00",9.0,BD,5888,DE LA MADELEINE,75001.0,BC,41,,65,,,,,,,,,,1,4.0,43.0,0.0,
805117,30/04/2020,Vente,"472986,00",3.0,RUE,1275,DE BRETAGNE,75003.0,AK,68,,11,"48,12",,,,,,,,,1,2.0,49.0,3.0,
805118,13/05/2020,Vente,"310000,00",9.0,RUE,7348,DES PETITS CHAMPS,75001.0,AV,70,,3,"22,18",,,,,,,,,1,2.0,20.0,1.0,
